casp_year,set,target_id,n_chains,n_unique_seqs,n_ligand_entities,n_ligand_copies,primary_ccd
16,L3000,L3032,1,1,1,1,
16,L3000,L3033,1,1,1,1,
16,L3000,L3034,1,1,1,1,
16,L3000,L3035,1,1,1,1,
16,L3000,L3036,1,1,1,1,
16,L3000,L3037,1,1,1,1,
16,L3000,L3038,1,1,1,1,
16,L3000,L3039,1,1,1,1,
16,L3000,L3040,1,1,1,1,
16,L3000,L3041,1,1,1,1,
16,L3000,L3042,1,1,1,1,
16,L3000,L3043,1,1,1,1,
16,L3000,L3044,1,1,1,1,
16,L3000,L3045,1,1,1,1,
16,L3000,L3046,1,1,1,1,
16,L3000,L3047,1,1,1,1,
16,L3000,L3048,1,1,1,1,
16,L3000,L3049,1,1,1,1,
16,L3000,L3050,1,1,1,1,
16,L3000,L3051,1,1,1,1,
16,L3000,L3052,1,1,1,1,
16,L3000,L3053,1,1,1,1,
16,L3000,L3054,1,1,1,1,
16,L3000,L3055,1,1,1,1,
16,L3000,L3056,1,1,1,1,
16,L3000,L3057,1,1,1,1,
16,L3000,L3058,1,1,1,1,
16,L3000,L3059,1,1,1,1,
16,L3000,L3060,1,1,1,1,
16,L3000,L3061,1,1,1,1,
16,L3000,L3062,1,1,1,1,
16,L3000,L3063,1,1,1,1,
16,L3000,L3064,1,1,1,1,
16,L3000,L3065,1,1,1,1,
16,L3000,L3066,1,1,1,1,
16,L3000,L3067,1,1,1,1,
16,L3000,L3068,1,1,1,1,
16,L3000,L3070,1,1,1,1,
16,L3000,L3071,1,1,1,1,
16,L3000,L3072,1,1,1,1,
16,L3000,L3073,1,1,1,1,
16,L3000,L3074,1,1,1,1,
16,L3000,L3075,1,1,1,1,
16,L3000,L3076,1,1,1,1,
16,L3000,L3077,1,1,1,1,
16,L3000,L3078,1,1,1,1,
16,L3000,L3079,1,1,1,1,
16,L3000,L3080,1,1,1,1,
16,L3000,L3081,1,1,1,1,
16,L3000,L3082,1,1,1,1,
16,L3000,L3083,1,1,1,1,
16,L3000,L3084,1,1,1,1,
16,L3000,L3085,1,1,1,1,
16,L3000,L3086,1,1,1,1,
16,L3000,L3087,1,1,1,1,
16,L3000,L3088,1,1,1,1,
16,L3000,L3089,1,1,1,1,
16,L3000,L3090,1,1,1,1,
16,L3000,L3093,1,1,1,1,
16,L3000,L3095,1,1,1,1,
16,L3000,L3096,1,1,1,1,
16,L3000,L3097,1,1,1,1,
16,L3000,L3098,1,1,1,1,
16,L3000,L3099,1,1,1,1,
16,L3000,L3100,1,1,1,1,
16,L3000,L3101,1,1,1,1,
16,L3000,L3102,1,1,1,1,
16,L3000,L3103,1,1,1,1,
16,L3000,L3105,1,1,1,1,
16,L3000,L3106,1,1,1,1,
16,L3000,L3107,1,1,1,1,
16,L3000,L3108,1,1,1,1,
16,L3000,L3109,1,1,1,1,
16,L3000,L3110,1,1,1,1,
16,L3000,L3111,1,1,1,1,
16,L3000,L3112,1,1,1,1,
16,L3000,L3113,1,1,1,1,
16,L3000,L3114,1,1,1,1,
16,L3000,L3115,1,1,1,1,
16,L3000,L3117,1,1,1,1,
16,L3000,L3118,1,1,1,1,
16,L3000,L3119,1,1,1,1,
16,L3000,L3120,1,1,1,1,
16,L3000,L3121,1,1,1,1,
16,L3000,L3122,1,1,1,1,
16,L3000,L3123,1,1,1,1,
16,L3000,L3124,1,1,1,1,
16,L3000,L3125,1,1,1,1,
16,L3000,L3126,1,1,1,1,
16,L3000,L3127,1,1,1,1,
16,L3000,L3128,1,1,1,1,
16,L3000,L3129,1,1,1,1,
16,L3000,L3130,1,1,1,1,
16,L3000,L3131,1,1,1,1,
16,L3000,L3132,1,1,1,1,
16,L3000,L3133,1,1,1,1,
16,L3000,L3134,1,1,1,1,
16,L3000,L3135,1,1,1,1,
16,L3000,L3136,1,1,1,1,
16,L3000,L3137,1,1,1,1,
16,L3000,L3138,1,1,1,1,
16,L3000,L3139,1,1,1,1,
16,L3000,L3140,1,1,1,1,
16,L3000,L3141,1,1,1,1,
16,L3000,L3142,1,1,1,1,
16,L3000,L3143,1,1,1,1,
16,L3000,L3144,1,1,1,1,
16,L3000,L3145,1,1,1,1,
16,L3000,L3146,1,1,1,1,
16,L3000,L3148,1,1,1,1,
16,L3000,L3149,1,1,1,1,
16,L3000,L3150,1,1,1,1,
16,L3000,L3151,1,1,1,1,
16,L3000,L3152,1,1,1,1,
16,L3000,L3153,1,1,1,1,
16,L3000,L3154,1,1,1,1,
16,L3000,L3155,1,1,1,1,
16,L3000,L3156,1,1,1,1,
16,L3000,L3157,1,1,1,1,
16,L3000,L3158,1,1,1,1,
16,L3000,L3159,1,1,1,1,
16,L3000,L3160,1,1,1,1,
16,L3000,L3161,1,1,1,1,
16,L3000,L3162,1,1,1,1,
16,L3000,L3163,1,1,1,1,
16,L3000,L3164,1,1,1,1,
16,L3000,L3165,1,1,1,1,
16,L3000,L3166,1,1,1,1,
16,L3000,L3167,1,1,1,1,
16,L3000,L3168,1,1,1,1,
16,L3000,L3169,1,1,1,1,
16,L3000,L3170,1,1,1,1,
16,L3000,L3171,1,1,1,1,
16,L3000,L3172,1,1,1,1,
16,L3000,L3173,1,1,1,1,
16,L3000,L3174,1,1,1,1,
16,L3000,L3175,1,1,1,1,
16,L3000,L3176,1,1,1,1,
16,L3000,L3177,1,1,1,1,
16,L3000,L3178,1,1,1,1,
16,L3000,L3179,1,1,1,1,
16,L3000,L3180,1,1,1,1,
16,L3000,L3181,1,1,1,1,
16,L3000,L3182,1,1,1,1,
16,L3000,L3183,1,1,1,1,
16,L3000,L3184,1,1,1,1,
16,L3000,L3185,1,1,1,1,
16,L3000,L3186,1,1,1,1,
16,L3000,L3187,1,1,1,1,
16,L3000,L3188,1,1,1,1,
16,L3000,L3189,1,1,1,1,
16,L3000,L3190,1,1,1,1,
16,L3000,L3191,1,1,1,1,
16,L3000,L3192,1,1,1,1,
16,L3000,L3193,1,1,1,1,
16,L3000,L3194,1,1,1,1,
16,L3000,L3196,1,1,1,1,
16,L3000,L3197,1,1,1,1,
16,L3000,L3198,1,1,1,1,
16,L3000,L3199,1,1,1,1,
16,L3000,L3200,1,1,1,1,
16,L3000,L3201,1,1,1,1,
16,L4000,L4001,2,2,1,2,
16,L4000,L4002,2,2,1,2,
16,L4000,L4003,2,2,1,2,
16,L4000,L4004,2,2,1,6,
16,L4000,L4006,2,2,1,1,
16,L4000,L4007,2,2,1,1,
16,L4000,L4008,2,2,1,2,
16,L4000,L4009,2,1,1,2,
16,L4000,L4010,2,2,1,2,
16,L4000,L4011,2,2,1,3,
16,L4000,L4013,2,2,1,4,
16,L4000,L4014,2,2,1,2,
16,L4000,L4015,2,2,1,2,
16,L4000,L4016,2,2,1,1,
16,L4000,L4017,2,2,1,2,
16,L4000,L4018,2,2,1,2,
16,L4000,L4019,2,2,1,4,
16,L4000,L4020,2,2,1,2,
16,L4000,L4022,2,2,1,2,
16,L4000,L4023,2,2,1,4,
16,L4000,L4024,1,1,1,1,
16,L4000,L4025,2,2,1,2,
16,L4000,L4026,2,2,1,2,
16,L4000,L4027,2,2,1,2,
16,L4000,L4028,2,2,1,2,
